Pos	013	023	025	044	054	103	172	190	NA19240
chr1:6624476-6626409	-0.381	-0.326	-0.354	-0.622	-0.854	-0.577	-0.608	-0.652	-0.125
chr1:19273486-19274724	-0.153	-0.403	-0.272	-0.099	-0.726	-0.217	-0.219	-0.525	-0.463
chr1:19287935-19290050	-0.752	-0.663	-0.742	-0.822	-0.766	-0.910	-0.734	-0.819	0.131
chr1:21427995-21429552	-0.693	-0.668	-0.688	-0.787	-0.849	-0.482	-0.696	-0.667	-0.380
chr1:22951559-22954276	-0.800	-0.792	-0.614	-0.791	-0.246	-0.533	0.312	-0.198	-0.089
chr1:29055667-29056227	-0.705	-0.278	-0.782	-0.186	-0.268	-0.357	-0.528	-0.464	0.033
chr1:29259091-29260898	-0.595	-0.431	-0.373	-0.644	-0.248	-0.439	-0.553	-0.259	-0.088
chr1:34092171-34092885	-0.230	-0.589	-0.328	-0.285	-0.632	-0.215	-0.473	-0.360	-0.065
chr1:39514077-39516009	-0.274	-0.608	-0.694	0.612	-0.620	-0.170	-0.467	0.201	-0.351
chr1:39557290-39560848	-0.785	-0.686	-0.688	-0.580	-0.538	-0.904	-0.367	-0.657	-0.829
chr1:41917890-41918892	-0.764	-0.138	-0.247	-0.512	-0.791	0.200	-0.717	-0.604	-0.413
chr1:51329926-51331138	-0.521	-0.589	-0.241	-0.547	-0.552	-0.737	-0.349	-0.391	0.138
chr1:55039174-55041282	-0.640	-0.723	-0.602	-0.625	-0.688	-0.181	-0.572	-0.623	-0.461
chr1:55055845-55057402	-0.695	-0.597	-0.547	-0.620	-0.653	-0.494	-0.566	-0.411	-0.091
chr1:60640031-60640492	-0.037	0.409	0.596	0.669	0.348	0.348	0.480	0.755	-0.037
chr1:62480336-62481827	-0.610	-0.541	-0.749	-0.200	-0.462	-0.615	-0.705	-0.322	-0.146
chr1:67306992-67308382	-0.363	-0.447	-0.581	-0.459	-0.119	-0.849	0.294	-0.769	0.021
chr1:68046152-68047803	-0.674	-0.342	-0.776	-0.631	-0.718	-0.666	-0.401	-0.662	-0.312
chr1:68049750-68052007	-0.728	-0.617	-0.810	-0.636	-0.791	-0.769	0.485	-0.788	-0.632
chr1:89708966-89710352	-0.303	-0.456	-0.368	-0.789	-0.658	-0.529	-0.640	0.221	-0.184
chr1:89842481-89844332	-0.872	-0.611	-0.476	-0.535	-0.667	-0.738	-0.328	-0.383	0.301
chr1:91904434-91906860	-0.578	-0.490	-0.921	-0.247	-0.653	-0.706	-0.813	-0.874	0.040
chr1:91961577-91962426	-0.495	0.245	0.103	-0.596	-0.082	-0.581	-0.554	-0.488	-0.021
chr1:118852149-118853064	0.430	0.747	0.062	0.194	0.747	0.332	0.466	0.762	0.182
chr1:166920144-166922253	-0.845	-0.811	-0.901	-0.288	-0.764	-0.662	-0.864	-0.709	-0.296
